cod_materia;nome_materia;cod_departamento;sigla_departamento;nome_departamento;creditos
192431;SEMINARIO INTERDISCIPLINAR EM INICIO DE ESCOLARIZACAO 2               ;150;MTC         ;Departamento de Métodos e Técnicas                ;2
192473;SEMINARIO INTERDISCIPLINAR EM INICIO DE ESCOLARIZACAO 3               ;150;MTC         ;Departamento de Métodos e Técnicas                ;2
192490;SEMINARIO INTERDISCIPLINAR EM INICIO DE ESCOLARIZACAO 4               ;150;MTC         ;Departamento de Métodos e Técnicas                ;2
192619;SEMINARIO INTERDISCIPLINAR EM TECNOLOGIA EDUCACIONAL 1                ;150;MTC         ;Departamento de Métodos e Técnicas                ;1
192627;SEMINARIO INTERDISCIPLINAR EM TECNOLOGIA EDUCACIONAL 2                ;150;MTC         ;Departamento de Métodos e Técnicas                ;1
192635;SEMINARIO INTERDISCIPLINAR EM TECNOLOGIA EDUCACIONAL 3                ;150;MTC         ;Departamento de Métodos e Técnicas                ;1
192643;SEMINARIO INTERDISCIPLINAR EM TECNOLOGIA EDUCACIONAL 4                ;150;MTC         ;Departamento de Métodos e Técnicas                ;1
156086;SEMINARIO INTERDISCIPLINAR EM TEORIA E HISTORIA DA ARTE 1             ;163;VIS         ;Departamento de Artes Visuais                     ;15
156094;SEMINARIO INTERDISCIPLINAR EM TEORIA E HISTORIA DA ARTE 2             ;163;VIS         ;Departamento de Artes Visuais                     ;15
156108;SEMINARIO INTERDISCIPLINAR EM TEORIA E HISTORIA DA ARTE 3             ;163;VIS         ;Departamento de Artes Visuais                     ;15
