cod_disciplina;nome_disciplina;creditos;cod_departamento;sigla_departamento;nome_departamento
108804;Didática da Química                                                   ;4;85;IQD         ;Instituto de Química                              
108812;Bases Celulares e Morfológicas do Desenvolvimento Regeneraçao Muscular;2;96;FCE         ;UnB - Faculdade da Ceilândia                      
108821;Sociologia do Audio Visual                                            ;4;265;SOL         ;Departamento de Sociologia                        
108839;Sociologia das Diferenças Sexuais                                     ;4;265;SOL         ;Departamento de Sociologia                        
108847;Laboratório de Ensino de Matemática                                   ;3;106;MAT         ;Departamento de Matemática.                       
108855;Teoria e Pensamento Social 1                                          ;4;265;SOL         ;Departamento de Sociologia                        
108863;Cálculo de Varias Variáveis                                           ;3;106;MAT         ;Departamento de Matemática.                       
108871;Sociologias Emergentes                                                ;4;265;SOL         ;Departamento de Sociologia                        
108880;Estágio de Docencia 2                                                 ;7;106;MAT         ;Departamento de Matemática.                       
108898;Epistemologia das Ciencias Sociais                                    ;4;265;SOL         ;Departamento de Sociologia                        
108901;Geometria Espacial                                                    ;3;106;MAT         ;Departamento de Matemática.                       
108910;Fundamentos de Álgebra 1                                              ;2;106;MAT         ;Departamento de Matemática.                       
108928;Sociologia do Conflito                                                ;4;265;SOL         ;Departamento de Sociologia                        
108936;Sociologia da Violencia na Perspectiva das Relaçoes de Genero         ;4;265;SOL         ;Departamento de Sociologia                        
108944;Laboratório de Crítica,Teoria e História da Arte 2                    ;4;163;VIS         ;Departamento de Artes Visuais                     
108952;Crítica e História da Arte no Brasil 4                                ;4;163;VIS         ;Departamento de Artes Visuais                     
108961;Teoria, Crítica e História da Arte 6                                  ;4;163;VIS         ;Departamento de Artes Visuais                     
