id_objeto,id_sujeito,id_termo,id_objeto_tipo,desc_objeto,id_coluna
48476,39460,14,1,"Democracia e Relaçoes Internacionais",17
48477,39460,28,1,4,18
48478,39460,4,2,"Instituto de Relaçoes Internacionais",21
48479,39461,14,1,"Atençao Primária em Saúde",17
48480,39461,28,1,4,18
48481,39461,4,2,"UnB - Faculdade da Ceilândia",21
48482,39462,14,1,"Bioética e Saúde Coletiva",17
48483,39462,28,1,2,18
48484,39462,4,2,"UnB - Faculdade da Ceilândia",21
48485,39463,14,1,"Demografia e Bioestatística em Saúde Coletiva",17
48486,39463,28,1,4,18
48487,39463,4,2,"UnB - Faculdade da Ceilândia",21
48488,39464,14,1,"Instrumento Principal Contrabaixo Elétrico 3",17
48489,39464,28,1,2,18
48490,39464,4,2,"Departamento de Música",21
48491,39465,14,1,"Instrumento Principal Contrabaixo Elétrico 4",17
48492,39465,28,1,2,18
48493,39465,4,2,"Departamento de Música",21
48494,39466,14,1,"Instrumento Principal Oboé 1",17
48495,39466,28,1,2,18
48496,39466,4,2,"Departamento de Música",21
48497,39467,14,1,"Instrumento Principal Oboé 2",17
48498,39467,28,1,2,18
48499,39467,4,2,"Departamento de Música",21
48500,39468,14,1,"Instrumento Principal Oboé 3",17
48501,39468,28,1,2,18
48502,39468,4,2,"Departamento de Música",21
48503,39469,14,1,"Instrumento Principal Oboé 4",17
48504,39469,28,1,2,18
48505,39469,4,2,"Departamento de Música",21
48506,39470,14,1,"Instrumento Principal Violino 1",17
48507,39470,28,1,2,18
48508,39470,4,2,"Departamento de Música",21
48509,39471,14,1,"Instrumento Principal Violino 2",17
48510,39471,28,1,2,18
48511,39471,4,2,"Departamento de Música",21
48512,39472,14,1,"Instrumento Principal Violino 3",17
48513,39472,28,1,2,18
48514,39472,4,2,"Departamento de Música",21
48515,39473,14,1,"Instrumento Principal Violino 4",17
48516,39473,28,1,2,18
48517,39473,4,2,"Departamento de Música",21
48518,39474,14,1,"Introduçao ao Processamento de Sinais Biológicos",17
48519,39474,28,1,4,18
48520,39474,4,2,"Direçao do Instituto Ciencias Biológicas",21
48521,39475,14,1,"Estágio em Extensao 1",17
48522,39475,28,1,4,18
48523,39475,4,2,"Direçao do Instituto Ciencias Biológicas",21
48524,39476,14,1,"Estágio em Extensao 2",17
48525,39476,28,1,6,18
48526,39476,4,2,"Direçao do Instituto Ciencias Biológicas",21
48527,39477,14,1,"Métodos em Biologia",17
48528,39477,28,1,4,18
48529,39477,4,2,"Direçao do Instituto Ciencias Biológicas",21
48530,39478,14,1,"Estágio em Ilustraçao Científica",17
48531,39478,28,1,4,18
48532,39478,4,2,"Direçao do Instituto Ciencias Biológicas",21
48533,39479,14,1,"Estágio em Ecologia",17
48534,39479,28,1,4,18
48535,39479,4,2,"Direçao do Instituto Ciencias Biológicas",21
48536,39480,14,1,"Dinâmica da Construçao do Conhecimento Científico",17
48537,39480,28,1,4,18
48538,39480,4,2,"Direçao do Instituto Ciencias Biológicas",21
48539,39481,14,1,"Filosofia na América Latina",17
48540,39481,28,1,4,18
48541,39481,4,2,"Departamento de Filosofia",21
48542,39482,14,1,"Projeto de Sistemas de Produçao 5",17
48543,39482,28,1,2,18
48544,39482,4,2,"Departamento de Engenharia de Produçao",21
48545,39483,14,1,"Projeto de Sistemas de Produçao 6",17
48546,39483,28,1,2,18
48547,39483,4,2,"Departamento de Engenharia de Produçao",21
48548,39484,14,1,"Projeto de Sistemas de Produçao 7",17
48549,39484,28,1,2,18
48550,39484,4,2,"Departamento de Engenharia de Produçao",21
48551,39485,14,1,"Trabalho de Conclusao de Curso 2",17
48552,39485,28,1,6,18
48553,39485,4,2,"Departamento de História",21
48554,39486,14,1,"Tópico Especial em Teoria da História",17
48555,39486,28,1,4,18
48556,39486,4,2,"Departamento de História",21
48557,39487,14,1,"Tópico Especial em Metodologia da História",17
48558,39487,28,1,4,18
48559,39487,4,2,"Departamento de História",21
48560,39488,14,1,"Historiografia e Antiguidade Greco-Romana",17
48561,39488,28,1,4,18
48562,39488,4,2,"Departamento de História",21
48563,39489,14,1,"História e Historiografia Antiga",17
48564,39489,28,1,4,18
