nome_departamento;sigla_departamento;cod_faculdade;cod_materia;periodo_disciplina;prioridade;cod_fluxo
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;181757;7;7;809181757
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;186759;7;7;809186759
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;184080;7;8;809184080
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;186350;8;8;809186350
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;184691;8;10;809184691
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;181846;9;10;809181846
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;181862;9;10;809181862
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;186317;9;10;809186317
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;187208;10;11;809187208
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;187216;10;11;809187216
Depto de Cięncias Contábeis e Atuariais           ;CCA         ;809;186724;11;12;809186724
Departamento de Artes Cęnicas                     ;CEN         ;680;158143;1;1;680158143
Departamento de Artes Cęnicas                     ;CEN         ;680;158178;1;2;680158178
Departamento de Artes Cęnicas                     ;CEN         ;680;158216;1;3;680158216
Departamento de Artes Cęnicas                     ;CEN         ;680;158275;1;4;680158275
Departamento de Artes Cęnicas                     ;CEN         ;680;158151;2;5;680158151
Departamento de Artes Cęnicas                     ;CEN         ;680;158186;2;6;680158186
Departamento de Artes Cęnicas                     ;CEN         ;680;158224;2;7;680158224
Departamento de Artes Cęnicas                     ;CEN         ;680;158283;2;8;680158283
Departamento de Artes Cęnicas                     ;CEN         ;680;158313;2;9;680158313
Departamento de Artes Cęnicas                     ;CEN         ;680;158194;3;10;680158194
Departamento de Artes Cęnicas                     ;CEN         ;680;158232;3;11;680158232
Departamento de Artes Cęnicas                     ;CEN         ;680;158291;3;12;680158291
Departamento de Artes Cęnicas                     ;CEN         ;680;158321;3;13;680158321
Departamento de Artes Cęnicas                     ;CEN         ;680;158160;4;14;680158160
Departamento de Artes Cęnicas                     ;CEN         ;680;158241;4;15;680158241
