cod_oferta;turma;vagas_oferecidas;periodo;matricula_professor;cod_materia
664125;A ;3;20181;745731;323853
664126;C ;3;20181;745731;323861
664127;C ;3;20181;745731;395862
664128;E ;2;20181;1038095;347191
664129;C ;5;20181;1017390;382604
664130;I ;2;20181;1010859;372633
664131;W ;1;20181;151190;321346
664132;A ;50;20181;1019252;109797
664133;A ;30;20181;139556;317179
664134;A ;1;20181;1035975;361496
664135;O ;1;20181;989479;338206
664136;R ;1;20181;1014269;338206
664137;A ;20;20181;1109201;113255
664138;A ;20;20181;1109201;157538
664139;A ;40;20181;1084135;319821
664140;A ;27;20181;91626;333123
664145;A ;10;20181;1101668;322156
664146;B ;15;20181;1106813;145149
664147;A ;20;20181;148695;117994
664148;A ;10;20181;1084216;322164
664150;A ;20;20181;1098098;200212
664151;B ;20;20181;1057049;200212
664152;C ;26;20181;1098764;200212
664153;A ;10;20181;1034316;327051
664154;B ;3;20181;1038486;340693
664156;B ;2;20181;1038486;342670
664157;B ;40;20181;1035096;196924
664158;D ;20;20181;1105167;200212
664162;A ;10;20181;1101668;327077
664167;FM;4;20181;1042149;150096
664175;A ;6;20181;1102796;322181
664177;C ;5;20181;991091;310913
664182;C ;1;20181;1074423;356034
664183;D ;2;20181;1020692;356034
664184;H ;1;20181;1020692;356026
664185;I ;2;20181;1048210;356026
664187;M ;10;20181;63304;122891
664188;N ;1;20181;1036254;367150
664198;D ;50;20181;1108891;181307
664199;MF;4;20181;1101901;150100
664200;E ;10;20181;1076752;343471
664201;E ;10;20181;997595;343587
664202;I ;5;20181;1009893;394688
664203;D ;5;20181;1009893;394696
664204;D ;5;20181;1009893;338206
664207;A ;27;20181;1017471;332054
664208;A ;27;20181;121231;332127
664211;A ;10;20181;1045148;364690
664215;A ;9;20181;1044524;327000
664223;A ;15;20181;1013955;117579
664224;E ;5;20181;1079468;318795
664225;F ;40;20181;1088793;192015
664226;E ;1;20181;1098993;202339
664234;G ;10;20181;137561;345601
664235;I ;10;20181;1032593;194689
664236;B ;10;20181;1103903;345831
664237;G ;10;20181;1027409;194735
664238;R ;2;20181;1014269;338231
664241;G ;5;20181;994863;310867
664242;G ;13;20181;986640;386821
664245;A ;5;20181;1016091;318787
664246;B ;10;20181;1008480;318787
664247;H ;40;20181;1078127;188255
664248;F ;10;20181;1008480;318795
664250;E ;3;20181;1039431;356034
664251;F ;3;20181;137634;356034
664252;G ;2;20181;150185;356034
664253;SS;4;20181;1039903;150096
664254;LE;4;20181;1103806;150096
664255;C ;3;20181;150185;355691
664256;RV;4;20181;1099108;146722
664257;J ;2;20181;150185;356026
664258;K ;6;20181;137634;356026
664259;PB;4;20181;1084054;146722
664260;C ;2;20181;150185;356042
664261;SR;4;20181;1046942;146722
664262;A ;3;20181;1082574;375403
664263;D ;2;20181;137634;356042
664264;CM;4;20181;997315;150100
664265;WG;4;20181;1074776;150100
664266;E ;4;20181;1045288;356042
664267;B ;5;20181;1014005;327808
664269;IL;4;20181;147885;150100
664270;FM;4;20181;1042149;150100
664271;B ;21;20181;1045857;168882
664272;L ;4;20181;1007173;356026
664273;F ;2;20181;1007173;356042
664274;H ;4;20181;1045288;356034
664275;M ;4;20181;1045288;356026
664276;D ;2;20181;1049186;355691
664277;A ;2;20181;1049186;355330
664278;E ;1;20181;878979;355691
664279;F ;5;20181;152862;347191
664280;G ;1;20181;1044877;356042
664281;H ;4;20181;1034928;356042
664282;N ;2;20181;878979;356026
664283;D ;20;20181;1106635;104850
664285;G ;2;20181;1062531;347191
664286;A ;30;20181;1035398;123293
664287;MP;2;20181;1083805;361585
664288;C ;15;20181;1104152;154571
664289;M ;1;20181;992887;367150
664290;H ;25;20181;1107194;362484
664293;A ;19;20181;1027549;396559
664297;H ;10;20181;785563;345601
664298;E ;10;20181;785563;345610
664299;B ;2;20181;1039431;355330
664301;A ;15;20181;1039211;386952
664302;R ;1;20181;53112;372854
664303;U ;15;20181;1099990;365513
664305;A ;25;20181;1063723;318663
664306;C ;10;20181;1075152;345831
664308;R ;4;20181;53112;372846
664309;D ;15;20181;986640;386928
664310;E ;1;20181;991899;380024
664311;F ;5;20181;125610;343269
664320;O ;5;20181;989479;338311
664322;A ;20;20181;1073516;304221
664324;A ;20;20181;1008455;360473
664325;O ;3;20181;70793;356026
664326;I ;2;20181;119351;356034
664327;A ;10;20181;148547;360333
664328;F ;2;20181;151777;355691
664329;P ;2;20181;151777;356026
664333;I ;10;20181;1017641;345601
664334;C ;1;20181;145815;355330
664335;E ;1;20181;1021192;303798
664336;A ;6;20181;1017314;372811
664337;F ;3;20181;149667;316521
664338;F ;3;20181;149667;316334
664339;A ;15;20181;202088;384607
664340;J ;1;20181;878979;356034
664341;N ;5;20181;1036823;109738
664342;E ;5;20181;1052993;394696
664343;D ;5;20181;22381;310948
664344;H ;5;20181;22381;310867
664345;K ;1;20181;1044834;356034
664346;I ;1;20181;1044834;356042
664347;H ;2;20181;1021052;303470
664349;L ;1;20181;727610;356034
664350;J ;1;20181;727610;356042
664351;G ;1;20181;727610;355691
664352;L ;7;20181;1070517;109738
664353;B ;10;20181;1096788;310841
664355;A ;29;20181;1030728;395137
664356;A ;29;20181;1090836;395161
664357;A ;29;20181;1059718;395153
664358;A ;29;20181;1076744;308102
664359;E ;2;20181;129402;338206
664360;B ;1;20181;129402;338231
664361;A ;2;20181;1088017;316881
664362;A ;1;20181;1074504;315541
664363;B ;1;20181;1019970;315541
664364;C ;1;20181;1100858;315541
664365;D ;1;20181;1012487;315541
664366;E ;1;20181;1074504;315541
664367;F ;1;20181;1042955;315541
664368;K ;4;20181;997749;372846
664369;A ;25;20181;1105779;140716
664371;C ;25;20181;1110802;142999
664373;B ;25;20181;1105779;141526
664384;A ;10;20181;73041;304077
664385;B ;10;20181;1048228;304077
664386;C ;10;20181;140741;304077
664387;D ;10;20181;152412;304077
664388;E ;10;20181;1064291;304077
664389;F ;10;20181;1060252;304077
664390;G ;10;20181;1000161;304077
664393;B ;2;20181;1026801;316881
664394;B ;8;20181;994766;319830
664395;G ;1;20181;1035258;315541
664396;A ;3;20181;1073711;367419
664397;A ;30;20181;1109529;146099
664404;H ;8;20181;1054937;386821
664405;E ;45;20181;145203;188328
664406;A ;15;20181;1017241;360007
664407;M ;2;20181;1105451;356034
664408;H ;1;20181;1044966;355691
664409;J ;1;20181;1057260;372633
664410;J ;10;20181;1021192;343471
664411;G ;10;20181;1021192;343269
664412;B ;20;20181;1094122;116858
664413;E ;1;20181;1076485;340863
664414;A ;10;20181;125539;360287
664415;J ;1;20181;1047434;394688
664416;F ;1;20181;1047434;394696
664417;A ;10;20181;129496;341851
664420;F ;10;20181;1044796;345610
664421;B ;2;20181;1036793;361496
664422;M ;1;20181;1058576;321664
664424;Q ;1;20181;727610;356026
664425;C ;5;20181;1080067;327808
664426;C ;1;20181;995274;361496
664427;P ;1;20181;762032;338206
664428;P ;1;20181;762032;394688
664429;P ;1;20181;762032;338231
664430;A ;1;20181;957291;350192
664431;H ;3;20181;1049739;347191
664432;R ;1;20181;152510;356026
664433;I ;1;20181;152510;355691
664434;J ;2;20181;1038435;355691
664435;B ;50;20181;148211;167193
664436;H ;5;20181;991643;343579
664437;A ;3;20181;1041991;365629
664438;B ;3;20181;1013645;365629
664439;C ;3;20181;1045431;365629
664440;D ;3;20181;1045504;365629
664441;E ;3;20181;149195;365629
664442;A ;3;20181;1041991;365637
664443;B ;3;20181;1027417;365637
664444;C ;3;20181;1045334;365637
664445;D ;3;20181;648981;365637
664446;C ;2;20181;1048783;316881
664447;D ;1;20181;1052497;369691
664448;E ;1;20181;1035932;369691
664449;F ;1;20181;152561;369691
664452;B ;1;20181;1047973;302171
664453;K ;10;20181;1052578;345601
664454;J ;15;20181;1050940;194689
