sigla_departamento;nome_departamento;cod_curso;nome_curso;vigencia_inicio;vigencia_fim;cod_habilitacao;nome_habilitacao;vigencia_habilitacao_inicio;vigencia_opcao_fim;cod_disciplina;periodo;prioridade
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181722;4;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186244;4;4
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;132144;4;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186279;4;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181242;5;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186210;5;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186295;5;5
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181641;6;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186261;6;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186716;6;6
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181650;7;7
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;181757;7;7
CCA         ;Depto de Ciências Contábeis e Atuariais           ;809;Ciências Contábeis                                                    ;19942;-;8583;BACHARELADO EM CIÊNCIAS CONTÁBEIS                                     ;20172;-;186759;7;7
